Date,Open,High,Low,Close,Volume
2020-11-27,44.9926,44.9926,43.9891,44.758,1026356.6993314
2020-11-30,44.156,48.5715,42.3828,46.2799,9190882.1592479
2020-12-01,47.6682,48.0698,46.6648,47.6516,2805347.2860664
2020-12-02,47.8695,47.8695,46.2131,47.0997,1929125.4260791
2020-12-03,47.25,47.4846,46.3976,46.3976,1751284.0656156
2020-12-04,47.1832,48.17,46.5646,48.0865,1985883.6218529
2020-12-07,48.2034,50.0601,47.5681,49.8431,3161783.3840155
2020-12-08,49.7596,50.7464,49.1735,50.177,2543330.2687757
2020-12-09,50.177,52.2683,50.0935,51.5987,3074807.0310381
2020-12-10,51.6488,52.1514,50.2613,51.8334,2574135.6503653
2020-12-11,51.9336,51.9336,49.9766,51.7999,2558034.7770885
2020-12-14,51.8835,52.8535,50.3615,50.8967,1392835.9275228
2020-12-15,50.177,50.5452,49.3914,50.0935,1371549.0435362
2020-12-16,50.1436,51.4318,49.9433,50.2279,1198015.1332673
2020-12-17,50.445,50.9301,47.5848,48.923,2760363.1668351
2020-12-18,48.5048,49.7086,48.4213,48.9064,2380298.1155465
2020-12-21,48.0031,48.0698,44.758,45.8625,2514571.0682825
2020-12-22,45.946,47.25,45.3608,47.0497,1313418.3814653
2020-12-23,47.4512,48.5048,47.1165,48.0197,853598.9267197
2020-12-28,48.9731,50.1269,48.923,49.8431,991663.80126501
2020-12-29,50.177,51.0135,49.2068,49.5082,1016180.4193737
2020-12-30,49.5082,49.5918,48.17,48.2711,1736194.9025695
2021-01-04,49.2912,50.6963,49.0232,49.3246,1229397.4969569
2021-01-05,49.09,50.3281,48.5883,49.8431,1744441.0806698
2021-01-07,51.365,52.6022,50.8466,52.6022,2551715.2867502
2021-01-08,52.6866,54.3421,52.4687,53.5056,2421154.5936007
2021-01-11,53.5223,53.69,52.2683,53.0372,1427733.6713052
2021-01-12,53.5223,53.9405,52.1005,52.9036,1643847.0397061
2021-01-13,53.4221,53.4722,51.1137,51.2982,1459340.2272506
2021-01-14,51.0135,52.1005,50.3448,51.7999,1071586.6334219
2021-01-15,51.4151,51.5821,49.5751,50.2279,1530769.9284162
2021-01-18,50.01,51.6664,49.0066,51.5987,1402049.4326153
2021-01-19,52.1849,52.4352,50.5952,50.7297,949974.28396584
2021-01-20,50.7631,51.1814,49.8597,50.5786,1040130.2976682
2021-01-21,50.5952,51.097,49.8431,50.278,1139247.1734133
2021-01-22,49.7596,50.2613,48.5883,49.9098,1777079.8314175
2021-01-25,50.177,50.3615,48.0865,48.4213,1240485.3403507
2021-01-26,48.1366,49.8932,47.3177,49.0066,1287057.013881
2021-01-27,49.09,49.6585,47.5848,47.8361,1670104.8464007
2021-01-28,47.3343,48.9731,46.9996,48.5048,1536304.1768432
2021-01-29,48.0865,48.1533,46.8326,46.8493,3015463.2271158
2021-02-01,47.25,48.7218,47.0329,47.8194,1440809.6561758
2021-02-02,48.5215,49.7429,48.4213,49.3747,1403640.4010095
2021-02-03,49.5082,50.177,48.7052,49.2745,1010758.8360905
2021-02-04,50.177,50.6963,48.9064,48.9064,1319900.6103447
2021-02-05,49.4916,50.0768,48.9731,49.1234,876279.89960678
2021-02-08,49.692,50.3949,48.8396,50.1436,1700216.0286194
2021-02-09,50.2613,51.6154,49.525,50.5285,2218144.5228326
2021-02-10,50.8967,51.2648,49.1401,49.7086,1199018.8772756
2021-02-11,49.8431,50.3448,49.1735,49.7086,1117564.2543758
2021-02-12,49.7086,50.0267,48.8062,49.9766,688236.08445524
2021-02-15,50.7965,51.2147,50.177,50.4951,967963.151925
2021-02-16,50.8299,51.6831,50.5117,51.5153,1850660.412601
2021-02-17,51.5153,52.1005,50.7965,51.1304,1381407.8126341
2021-02-18,51.0803,51.4819,49.3581,49.3581,1534561.8502255
2021-02-19,49.6084,50.9467,49.5082,50.7464,1339215.285299
2021-02-22,50.4283,50.5618,49.6419,49.7763,834640.45570485
2021-02-23,50.0935,51.3817,49.1568,49.9433,1660535.1373687
2021-02-24,50.1937,50.4617,49.5417,50.1436,1764060.7481346
2021-02-25,51.0135,51.3983,50.0935,50.1102,1676119.3442285
2021-02-26,48.7218,49.7596,48.5883,49.2068,2356594.0521112
2021-03-01,50.177,50.5952,49.525,50.5117,1314019.2622322
2021-03-02,50.5117,51.147,49.9265,50.9301,1260763.9282019
2021-03-03,50.9467,51.6322,50.3281,50.3448,1424826.0001699
2021-03-04,50.177,51.6831,49.8431,51.4151,1940593.3720793
2021-03-05,51.0302,54.2752,51.0302,53.3219,3731460.4582147
2021-03-08,54.2752,56.3657,54.0239,55.7471,3923670.6076231
2021-03-09,55.7972,56.784,55.4458,56.0819,2443563.5768982
2021-03-10,56.7006,58.4395,56.299,58.0722,2867530.4792186
2021-03-11,58.2057,59.2927,56.4993,57.269,2205692.1793639
2021-03-12,57.2022,58.1056,56.3824,57.8042,1221608.8076223
2021-03-15,57.7875,58.7075,57.1355,57.1689,1012313.3874685
2021-03-16,57.219,57.7875,55.1953,55.5801,1700829.4277356
2021-03-17,55.1786,55.3288,52.2683,54.6435,3751881.3000354
2021-03-18,54.4422,55.5969,53.69,54.4756,1312645.6579033
2021-03-19,52.7867,54.1251,52.7533,53.2551,2351644.7520066
2021-03-22,52.6866,54.2752,52.4019,53.589,873406.36942415
2021-03-23,53.69,53.7401,52.1005,52.72,1072715.5609234
2021-03-24,52.1849,53.2551,51.85,52.5354,1297830.7605103
2021-03-25,52.4352,52.8368,51.4318,51.7666,1303180.6477929
2021-03-26,52.1681,53.5556,51.6831,52.72,1374548.8952437
2021-03-29,52.6866,54.7604,52.6866,53.6066,1236033.3601232
2021-03-30,53.8403,54.5257,53.1382,54.0073,1147535.4586886
2021-03-31,54.2586,54.3253,52.9871,53.0706,1352827.2831265
2021-04-01,53.104,53.9906,53.0872,53.69,1046692.1887704
2021-04-06,53.5389,55.5292,53.5389,55.3622,2159803.3248869
2021-04-07,55.5969,56.6838,55.3789,55.5292,2257101.6258868
2021-04-08,56.0986,56.132,53.9906,54.0239,1464485.2688172
2021-04-09,54.1083,54.6935,53.3553,54.0407,936683.21109337
2021-04-12,54.0073,54.5091,53.1216,54.1918,755317.3662831
2021-04-13,54.3087,54.3087,53.1382,53.1549,1069892.104138
2021-04-14,53.4387,54.8605,53.2718,54.8605,985412.59283206
2021-04-15,55.0951,56.5669,54.9774,56.3491,2371084.610454
2021-04-16,56.3491,56.6337,55.5125,56.1654,1162474.401543
2021-04-19,56.0318,56.5669,55.2788,55.4123,1181844.8400534
2021-04-20,55.5125,56.3824,55.1119,55.3622,1195143.8791481
2021-04-21,55.1285,55.6971,54.8605,55.5468,819236.05786242
2021-04-22,55.6136,56.5336,55.6136,55.9809,1625119.5891376
2021-04-23,55.8306,55.9308,54.9607,55.6136,1100379.9748678
2021-04-26,55.7638,55.9809,55.0274,55.8306,778266.91466448
2021-04-27,55.9641,56.0819,55.3789,55.9641,1311670.3646889
2021-04-28,56.1153,56.3324,55.4958,56.1654,1155606.3798986
2021-04-29,56.617,57.5872,56.4493,56.4493,1635951.3753864
2021-04-30,57.0687,57.0687,55.7805,55.7972,1071071.1050367
2021-05-04,56.1821,57.0521,55.6971,56.132,1853214.1558604
2021-05-05,56.5669,57.8376,56.3156,57.7541,1543730.9720796
2021-05-06,57.9544,59.3762,57.219,57.6205,2489583.305027
2021-05-07,58.5406,58.8745,57.9211,58.5572,1320872.4894638
2021-05-10,58.7909,60.631,58.7909,60.0291,1723104.123286
2021-05-11,59.979,60.4641,59.1592,60.3797,1469275.2444761
2021-05-12,60.3797,61.8524,59.4272,61.2163,2125504.185808
2021-05-13,60.631,62.2531,59.8278,61.8858,2377212.9114573
2021-05-14,62.5044,64.2776,62.3032,63.9429,1805672.8792744
2021-05-17,64.3946,65.1467,63.123,63.9429,1716648.0691371
2021-05-18,64.5114,64.8128,63.8092,64.2267,1236882.3318128
2021-05-19,63.8092,63.826,62.3542,62.8893,1876272.9552903
